City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2020-08-27 02:42:38,-21.21,-159.78,77.0,61,71,4.7
1,Miranda,CO,2020-08-27 02:51:20,3.25,-76.23,71.6,73,40,10.29
2,Ixtapa,MX,2020-08-27 02:48:23,20.7,-105.2,84.2,79,90,2.24
3,Saint-Philippe,RE,2020-08-27 02:42:42,-21.36,55.77,68.0,63,20,6.93
4,Balabac,PH,2020-08-27 02:51:21,7.99,117.06,87.35,62,96,5.17
5,Aasiaat,GL,2020-08-27 02:43:38,68.71,-52.87,37.47,76,44,8.14
6,Busselton,AU,2020-08-27 02:42:37,-33.65,115.33,66.0,52,11,7.27
7,Rikitea,PF,2020-08-27 02:42:38,-23.12,-134.97,68.47,58,1,4.45
8,Mataura,NZ,2020-08-27 02:42:37,-46.19,168.86,45.0,72,38,11.01
9,Butaritari,KI,2020-08-27 02:42:40,3.07,172.79,82.38,68,4,3.51
10,Tulungagung,ID,2020-08-27 02:51:21,-8.07,111.9,84.31,53,35,11.54
11,Ridgecrest,US,2020-08-27 02:47:41,35.62,-117.67,91.0,21,0,14.54
12,Sitka,US,2020-08-27 02:42:46,57.05,-135.33,57.2,82,75,10.29
13,Hilo,US,2020-08-27 02:42:46,19.73,-155.09,84.2,62,20,10.29
14,Birjand,IR,2020-08-27 02:42:50,32.87,59.22,55.4,47,0,9.17
15,Gorin,RU,2020-08-27 02:51:21,51.2,136.67,74.82,60,98,2.68
16,Sorland,NO,2020-08-27 02:43:01,67.67,12.69,49.95,67,100,10.38
17,Klaksvik,FO,2020-08-27 02:42:58,62.23,-6.59,46.4,87,3,5.55
18,Chuy,UY,2020-08-27 02:42:39,-33.7,-53.46,59.61,94,100,3.13
19,Albany,US,2020-08-27 02:40:35,42.6,-73.97,64.0,52,86,7.0
20,Bredasdorp,ZA,2020-08-27 02:42:39,-34.53,20.04,44.6,93,17,3.36
21,Atyashevo,RU,2020-08-27 02:51:21,54.56,46.07,57.13,82,100,4.36
22,Dargaville,NZ,2020-08-27 02:51:21,-35.93,173.88,57.34,63,11,15.26
23,Ushuaia,AR,2020-08-27 02:42:37,-54.8,-68.3,35.6,69,75,6.93
24,Pudozh,RU,2020-08-27 02:49:34,61.81,36.53,48.87,91,8,4.41
25,Qaanaaq,GL,2020-08-27 02:42:45,77.48,-69.36,37.31,88,100,14.38
26,Sagaing,MM,2020-08-27 02:51:22,21.88,95.98,84.2,79,75,8.05
27,Setermoen,NO,2020-08-27 02:51:22,68.86,18.35,41.0,93,100,11.41
28,Airai,TL,2020-08-27 02:42:40,-8.93,125.41,74.07,47,49,9.17
29,Jalu,LY,2020-08-27 02:42:55,29.03,21.55,75.02,61,0,8.9
30,Adrar,MR,2020-08-27 02:45:41,20.5,-10.07,92.21,35,22,6.22
31,Turukhansk,RU,2020-08-27 02:43:05,65.82,87.98,61.66,70,100,6.53
32,Mombetsu,JP,2020-08-27 02:51:22,44.35,143.35,77.0,83,20,3.36
33,Chissamba,AO,2020-08-27 02:50:31,-12.17,17.33,61.02,42,55,3.51
34,Yellowknife,CA,2020-08-27 02:42:42,62.46,-114.35,55.4,100,75,4.7
35,Khatanga,RU,2020-08-27 02:42:45,71.97,102.5,66.52,50,3,4.76
36,Seoul,KR,2020-08-27 02:41:28,37.57,126.98,80.6,83,90,6.93
37,Ancud,CL,2020-08-27 02:42:39,-41.87,-73.82,50.0,100,90,10.29
38,Kysyl-Syr,RU,2020-08-27 02:43:44,63.9,122.76,62.56,31,0,3.78
39,Hermanus,ZA,2020-08-27 02:42:38,-34.42,19.23,51.1,81,0,14.41
40,Sistranda,NO,2020-08-27 02:48:23,63.73,8.83,50.0,87,75,4.7
41,Pocone,BR,2020-08-27 02:50:33,-16.26,-56.62,86.04,34,43,3.83
42,Atuona,PF,2020-08-27 02:42:40,-9.8,-139.03,77.99,75,43,19.73
43,Bubaque,GW,2020-08-27 02:42:56,11.28,-15.83,80.4,79,99,15.55
44,Dikson,RU,2020-08-27 02:42:42,73.51,80.55,44.73,99,100,7.76
45,Vallenar,CL,2020-08-27 02:42:48,-28.57,-70.76,52.86,55,0,1.43
46,Cidreira,BR,2020-08-27 02:42:41,-30.18,-50.21,61.65,87,91,11.14
47,Waverly,US,2020-08-27 02:51:22,42.74,-84.62,78.8,69,1,9.17
48,Duzce,TR,2020-08-27 02:51:23,40.84,31.16,62.74,73,52,0.96
49,Masuda,JP,2020-08-27 02:51:23,34.67,131.85,87.8,62,75,21.92
50,Jamestown,US,2020-08-27 02:38:49,42.1,-79.24,66.99,93,75,5.82
51,Xapuri,BR,2020-08-27 02:51:23,-10.65,-68.5,76.24,45,0,1.9
52,Vardo,NO,2020-08-27 02:45:44,70.37,31.11,47.75,82,96,19.06
53,Saskylakh,RU,2020-08-27 02:42:43,71.92,114.08,68.02,36,0,6.89
54,Victoria,HK,2020-08-27 02:42:57,22.29,114.16,84.99,81,96,8.99
55,Kodiak,US,2020-08-27 02:42:42,57.79,-152.41,57.2,71,75,4.7
56,Tocopilla,CL,2020-08-27 02:49:03,-22.09,-70.2,61.92,67,0,5.73
57,Gdansk,PL,2020-08-27 02:51:23,54.35,18.65,59.0,93,75,12.75
58,Thompson,CA,2020-08-27 02:38:05,55.74,-97.86,55.4,82,90,4.7
59,Gizo,SB,2020-08-27 02:43:04,-8.1,156.84,84.38,74,45,12.03
60,Huilong,CN,2020-08-27 02:45:45,31.81,121.66,88.0,67,47,4.0
61,Kapaa,US,2020-08-27 02:42:40,22.08,-159.32,84.2,70,40,10.29
62,Chokurdakh,RU,2020-08-27 02:42:44,70.63,147.92,41.76,84,100,7.38
63,Mayo,US,2020-08-27 02:43:40,38.89,-76.51,79.0,65,1,4.7
64,Zatoka,UA,2020-08-27 02:51:23,46.07,30.47,60.8,93,82,6.55
65,Geraldton,AU,2020-08-27 02:42:41,-28.77,114.6,60.8,77,0,8.05
66,Hobart,AU,2020-08-27 02:42:23,-42.88,147.33,60.01,50,75,17.22
67,Vaini,TO,2020-08-27 02:42:38,-21.2,-175.2,80.6,65,75,4.7
68,Tuktoyaktuk,CA,2020-08-27 02:42:46,69.45,-133.04,42.8,87,75,16.11
69,Nikolskoye,RU,2020-08-27 02:42:48,59.7,30.79,54.0,81,85,4.43
70,Kruisfontein,ZA,2020-08-27 02:42:50,-34.0,24.73,57.0,72,18,5.99
71,Surt,LY,2020-08-27 02:51:24,31.21,16.59,77.43,78,7,7.81
72,Lompoc,US,2020-08-27 02:43:43,34.64,-120.46,60.8,82,90,11.36
73,Piranhas,BR,2020-08-27 02:51:24,-16.43,-51.82,70.9,22,0,3.42
74,Taguatinga,BR,2020-08-27 02:51:24,-12.39,-46.57,70.0,23,0,5.97
75,Cherskiy,RU,2020-08-27 02:42:57,68.75,161.3,40.64,88,100,9.33
76,Cayenne,GF,2020-08-27 02:38:02,4.93,-52.33,80.6,94,54,4.92
77,Carnarvon,AU,2020-08-27 02:42:46,-24.87,113.63,73.4,40,11,13.87
78,Upernavik,GL,2020-08-27 02:42:38,72.79,-56.15,43.07,72,99,6.08
79,Margate,GB,2020-08-27 02:43:04,51.38,1.39,62.01,81,100,1.99
80,Kyabe,TD,2020-08-27 02:51:24,9.45,18.94,71.82,94,60,3.76
81,Springbok,ZA,2020-08-27 02:51:24,-29.66,17.89,42.46,100,33,4.23
82,Yenagoa,NG,2020-08-27 02:45:56,4.92,6.26,73.51,94,66,3.09
83,Islamkot,PK,2020-08-27 02:49:33,24.7,70.18,82.81,78,36,14.12
84,Mandal,IN,2020-08-27 02:49:47,25.45,74.57,78.94,81,37,8.05
85,Bilma,NE,2020-08-27 02:45:47,18.69,12.92,88.34,40,97,5.23
86,Uren,RU,2020-08-27 02:51:24,57.46,45.79,59.68,88,99,10.4
87,Tuatapere,NZ,2020-08-27 02:42:42,-46.13,167.68,45.0,72,64,11.01
88,Bengkulu,ID,2020-08-27 02:42:55,-3.8,102.27,85.19,55,0,5.61
89,Pisco,PE,2020-08-27 02:42:43,-13.7,-76.22,62.6,82,90,10.29
90,Kupang,ID,2020-08-27 02:48:21,-10.17,123.58,91.4,36,20,25.28
91,Mogadishu,SO,2020-08-27 02:43:03,2.04,45.34,76.46,82,100,12.86
92,Mwinilunga,ZM,2020-08-27 02:51:24,-11.74,24.43,59.95,56,98,2.35
93,Castro,BR,2020-08-27 02:37:43,-24.79,-50.01,49.32,87,0,3.42
94,Cozumel,MX,2020-08-27 02:51:25,20.51,-86.95,80.01,83,20,2.24
95,Hamilton,US,2020-08-27 02:38:35,39.18,-84.53,81.0,74,1,5.82
96,Oranjemund,NA,2020-08-27 02:42:46,-28.55,16.43,54.46,91,55,0.27
97,Palmer,US,2020-08-27 02:41:43,42.16,-72.33,64.4,45,75,4.76
98,Ankang,CN,2020-08-27 02:51:25,32.68,109.02,83.77,57,0,1.01
99,Lavrentiya,RU,2020-08-27 02:43:03,65.58,-171.0,49.57,79,86,1.57
100,Obzor,BG,2020-08-27 02:51:25,42.82,27.88,68.0,93,51,6.93
101,Bandraboua,YT,2020-08-27 02:51:25,-12.7,45.12,71.6,94,39,4.7
102,Husavik,IS,2020-08-27 02:43:04,66.04,-17.34,44.6,87,75,0.78
103,Esperance,AU,2020-08-27 02:42:58,-33.87,121.9,62.6,77,0,9.17
104,Ilulissat,GL,2020-08-27 02:42:44,69.22,-51.1,42.8,60,6,6.91
105,Hithadhoo,MV,2020-08-27 02:42:43,-0.6,73.08,83.26,70,76,8.19
106,Torbay,CA,2020-08-27 02:42:54,47.67,-52.73,61.0,93,75,21.92
107,Yeniseysk,RU,2020-08-27 02:51:25,58.45,92.17,58.93,78,35,3.85
